
 id     r        dr       g        dg        u        du       i        di       z        dz       zspec
12950 20.8498 0.0871242 20.8860 0.00595566 19.9325 0.0142627 20.0788 0.0358603 19.8511 0.0755398 2.50500000 
14776 20.2984 0.0462050 20.6447 0.00421725 19.2952 0.00883540 20.0889 0.0349419 20.4333 0.0782677 1.89500000 
15357 20.8883 0.0642169 21.7938 0.0122221 22.1299 0.0922885 20.5905 0.0440319 20.0958 0.0994445 3.40500000 
17470 15.3928 0.00187072 16.4288 0.000497665 16.1900 0.00213936 15.0507 0.00114089 14.7237 0.00232644 0.03905500 
17027 21.1361 0.0854428 21.3559 0.00747357 20.6440 0.0294328 20.8778 0.0560247 21.2004 0.124193 2.36500000 
18867 16.8387 0.00414626 18.0323 0.000996666 18.0114 0.00551559 16.5715 0.00245391 16.2880 0.00516816 0.08753100 
17229 20.0404 0.0489051 21.0478 0.00683995 19.9232 0.0152216 19.7311 0.0229052 19.3747 0.0480701 0.48255100 
19327 17.0371 0.00390940 18.1786 0.000864832 18.0723 0.00454952 16.8834 0.00234270 16.4978 0.00508565 0.08872100 
19051 18.1322 0.0107634 18.9791 0.00166109 18.3634 0.00588584 17.8946 0.00614873 17.7270 0.0140456 0.14209300 
19452 18.4029 0.0131685 19.3260 0.00206952 18.8870 0.00856176 18.4161 0.00952614 17.9728 0.0203770 0.08973800 
19616 19.4654 0.0286941 20.6070 0.00717552 20.0639 0.0243584 18.5354 0.0119554 18.1664 0.0246537 0.38880000 
19771 18.1153 0.0145105 18.7795 0.00219040 18.1207 0.00642018 17.8826 0.00824679 17.9623 0.0239148 0.14239500 
19338 20.9845 0.0775890 21.5952 0.00882099 20.8190 0.0289878 20.7047 0.0654241 21.2379 0.148063 2.18500000 
20494 21.0123 0.0906927 21.1699 0.00686725 20.1166 0.0172164 20.9838 0.0706782 20.7164 0.140848 2.70841600 
21137 20.4082 0.0458597 20.9426 0.00509634 19.5691 0.0104317 20.0874 0.0243801 19.8403 0.0701269 1.92934000 
22207 18.4102 0.0180258 19.0704 0.00276126 18.3752 0.00867845 18.1476 0.0103319 18.1752 0.0281382 0.13804800 
23388 18.2007 0.0163869 20.3454 0.00844876 20.9195 0.0589456 17.4900 0.00652521 17.4364 0.0177855 0.36733400 
22543 21.0166 0.0897624 21.6838 0.00917779 21.0538 0.0426047 20.5636 0.0454250 21.1149 0.154013 3.20500000 
24289 17.1110 0.00632688 17.8419 0.00101771 17.2651 0.00347339 16.8282 0.00360319 16.7676 0.00964916 0.09026500 
25207 17.0296 0.00506901 17.9601 0.000910040 17.5289 0.00358719 16.6778 0.00281389 16.5582 0.00680878 0.09032400 
23438 20.5222 0.0558007 20.7784 0.00434118 19.0289 0.00638460 20.2819 0.0363349 20.2971 0.0878513 1.96500000 
23625 20.3023 0.0394988 20.4009 0.00317049 19.3271 0.00842993 19.4745 0.0248059 19.2049 0.0431152 2.25500000 
24377 16.4044 0.00272517 17.4921 0.000696705 17.3743 0.00338565 15.9824 0.00155735 15.8228 0.00333082 0.08774500 
24596 19.1961 0.0325504 21.5106 0.0187872 22.3569 0.130258 18.5136 0.0146041 18.3263 0.0305091 0.45994200 
24913 16.9873 0.00265611 17.6054 0.000293210 15.6415 0.000338311 16.8642 0.00190803 16.7564 0.00433710 1.38500000 
25783 19.4359 0.0256718 21.3106 0.0142075 21.2531 0.0803466 18.7165 0.0135418 18.3339 0.0275608 0.39948200 
26214 19.0697 0.0211973 20.8026 0.0129333 21.9686 0.102501 18.2103 0.0109271 17.9635 0.0216611 0.39872500 
26439 18.5843 0.0132965 19.7387 0.00303928 19.3449 0.0125239 18.1565 0.00716356 17.9031 0.0162567 0.20040500 
26600 19.3506 0.0195536 19.8651 0.00197276 18.7934 0.00526389 19.2559 0.0150596 19.1979 0.0390698 0.78305700 
27045 18.0935 0.0189958 18.8451 0.00261483 18.0812 0.00778447 17.9351 0.0114955 18.1027 0.0325312 0.12318000 
26779 18.5032 0.0143143 19.7715 0.00309302 19.7197 0.0150054 18.1131 0.00807010 17.9091 0.0180606 0.16566600 
27522 18.5322 0.0210763 20.5202 0.00927525 21.0164 0.0524731 17.7601 0.00969606 17.5700 0.0193868 0.39851300 
27590 17.9217 0.0109781 18.7710 0.00191826 18.2186 0.00686306 17.5555 0.00624397 17.3668 0.0164833 0.11925500 
27430 19.5569 0.0296584 20.6452 0.00464830 19.8068 0.0127915 18.9989 0.0140925 18.8214 0.0344221 0.27456500 
27377 20.5320 0.0577445 21.1242 0.00583009 19.4229 0.00899701 20.2807 0.0385786 20.1334 0.0867661 1.95500000 
27622 19.7533 0.0307097 20.0192 0.00223548 18.3560 0.00378178 19.8422 0.0277912 20.1706 0.0663986 1.27500000 
28106 16.7701 0.00785785 17.5990 0.00159468 17.1721 0.00598178 16.4298 0.00469291 16.3068 0.0112626 0.08765700 
27840 18.5799 0.0114320 19.7896 0.00237962 18.5469 0.00444774 18.3020 0.00725915 17.9958 0.0145896 0.30854800 
27940 18.1534 0.0131726 19.1213 0.00235170 18.7247 0.00985118 17.9256 0.00796979 17.7123 0.0196829 0.08128600 
28004 18.2794 0.0139523 19.1344 0.00241443 18.6981 0.00949954 18.0222 0.00852482 17.9579 0.0218544 0.08845500 
28110 16.6292 0.00430624 17.7264 0.00100715 17.3922 0.00381261 16.2319 0.00238660 16.1425 0.00580636 0.14302400 
28395 19.4311 0.0332683 21.6364 0.0166343 22.0957 0.114075 18.9033 0.0148540 18.4411 0.0270948 0.49778900 
29053 18.5977 0.0151845 20.1270 0.00376175 20.1540 0.0271942 18.1796 0.00747354 17.9208 0.0164301 0.18550000 
29504 18.8505 0.0214769 19.3854 0.00273017 18.5370 0.00697640 18.7239 0.0134614 18.6496 0.0408400 0.04945000 
29038 20.4577 0.0575189 21.2831 0.00756342 20.2540 0.0196364 20.3247 0.0387368 20.3828 0.112745 0.31000000 
29987 18.6526 0.0180110 19.4031 0.00247707 18.7168 0.00764429 18.2793 0.0103953 18.2005 0.0303420 0.14300200 
